evar69,evar66,product,units,segment.id,segment.name
43525,50029875,Cast Iron Sculpture Frog,1,,
43525,50029878,Cast Iron Sculpture Hedgehog,1,,
43525,50043932,National Trust Knightshayes Jacquard Throw Blue,1,,
43526,50032342,Joint Annual Gift Membership,2,,
43527,50028820,National Trust Moonlit Owl Christmas Cards Pack of 10,1,,
43527,50042534,National Trust Snowy Forest Christmas Cards Pack of 10,1,,
43529,50043932,National Trust Knightshayes Jacquard Throw Blue,1,,
43530,50042803,National Trust Mistletoe Hare Christmas Cards Pack of 10,13,,
43532,30080944,National Trust Christmas Blessings Christmas Cards Pack of 10,2,,
43532,50042806,National Trust Large Value Pack Christmas Cards Pack of 30,1,,
43534,30082859,National Trust Ladies Leather Gloves Grey,1,,
43534,50006194,National Trust Leather Gloves Navy,1,,
43536,30084948,Twig Hedgehog Christmas Tree Decoration,3,,
43537,50023352,Bronze Frith Sculpture Garden Bird,2,,
43537,50031156,Silver Tree Tealight Holder Large,4,,
43537,50043455,Metal Santa Figure,2,,
43537,50043928,National Trust Blue Spruce and Frosted Pine Inclusion Candle,1,,
43538,50045557,Pebble Toys Rainbow Rattle,1,,
43539,50038608,Green Maya Bird Sculpture Pecking,1,,
43540,50029517,National Trust Moonlight Snowfall Christmas Card Pack of 10,2,,
43540,50042806,National Trust Large Value Pack Christmas Cards Pack of 30,2,,
43540,50042817,National Trust Family Organiser 2020,1,,
43543,50043339,National Trust Gardens Calendar 2020,3,,
43544,300760791,Cast Iron Listening Mouse,1,,
43544,30085945,Cast Iron Sculpture Bunny,1,,
43544,50042829,Wall Hanging Reindeer Head,2,,
43545,30091406,National Trust Beehive Throw Dusky Pink,1,,
43545,50043571,National Trust St Clements Curd,1,,
43545,50043577,National Trust Mulled Wine 750ml,1,,
43546,50001447,National Trust Book of Scones,1,,
43546,50032855,The National Trust Book of Crumbles,1,,
43546,50042831,Star Garland Natural Birch,1,,
43547,50023352,Bronze Frith Sculpture Garden Bird,3,,
